ID,name,category,price_tear,neighborhood,open_hour,close_hour,avg_rating,forKids
343,Crumbs,Tabletop cooking,expensive,East Village,01:00,11:00,5,1
344,La Pino'z Pizza,Chinese,expensive,Upper West Side,01:00,19:00,5,1
345,Daddy Waffle,Fine Dining,expensive,Upper West Side,06:00,20:00,1,0
346,The Big Bro,Turkish,medium,Financial District,07:00,20:00,1,0
347,The Black Pearl,Fine Dining,cheap,Greenwich Village,02:00,13:00,1,0
348,Cream N Crunch,Coffee,expensive,Midtown East,03:00,19:00,4,1
349,Cupcake Corner,Pakistani,cheap,Brooklyn Heights,05:00,22:00,3,0
350,Hardy's Cafe,Premium Casual,medium,Flushing,03:00,16:00,5,1
351,Dak Bunglow,Family Style,cheap,East Village,08:00,23:00,5,0
352,M Cafe - Bengaluru Marriott Hotel Whitefield,Buffet,expensive,Morningside Heights,11:00,17:00,4,1
353,Uttam Sweets and Bakers,Chinese,expensive,East Village,10:00,14:00,2,1
354,Ambica Dalvada and Khiru,Destination Restaurant,expensive,Canarsie,07:00,17:00,3,1
355,Arogya Ahaara,Greasy Spoon,cheap,Marble Hill,01:00,22:00,1,0
356,The Ganache Factory,Tabletop cooking,cheap,Murray Hill,06:00,13:00,3,0
357,Shuddh Desi Khana,Fine Dining,medium,Brooklyn Heights,01:00,16:00,4,0
358,Petu Pankaj,Chinese,medium,Murray Hill,02:00,13:00,5,1
359,Jani Locho & Khaman House,Italian,medium,Chinatown,07:00,13:00,1,1
360,Wasabi,Fine Dining,medium,Battery Park City,03:00,16:00,5,1
361,Kurtoskalacs,Buffet,expensive,Tribeca,04:00,14:00,5,0
362,The Square - Novotel,Buffet,medium,Harlem,05:00,17:00,4,0
363,Sri Laxmi Venkateshwara Coffee Bar,Destination Restaurant,cheap,Red Hook,08:00,19:00,4,0
364,Cookie's Jar By Geet And Vir,Mongolian barbecue,medium,Marble Hill,06:00,18:00,1,1
365,Caffix - The Tech Cafe,Chinese,expensive,Flatbush,06:00,22:00,4,0
366,Dominic Pizza,Fast Food,expensive,Battery Park City,01:00,18:00,5,1
367,Dialogue Cafe,Casual Dining,expensive,Park Slope,01:00,21:00,2,0
368,The Globe Grub,Casual Dining,expensive,Park Slope,08:00,14:00,4,0
369,South Leaf- The Food Chain,Indian,medium,Brooklyn Heights,07:00,21:00,5,0
370,Gurpal Bakers,Indian,medium,East Harlem,05:00,13:00,3,1
371,Bake Addiction,Destination Restaurant,medium,Flushing,09:00,14:00,4,0
372,Bisaat,Cafe,medium,Inwood,08:00,13:00,4,1
373,The Cupcake Village,Coffee,cheap,Upper East Side,02:00,13:00,5,1
374,Baluchi - The Lalit Ashok Bangalore,Fast Food,medium,Red Hook,08:00,22:00,3,0
375,Gwalia Vanakkam,Fine Dining,cheap,Upper East Side,02:00,14:00,2,1
376,Parosa,Indian,medium,Gramercy Park,07:00,21:00,1,1
377,The Live Ice Cream Studio,Buffet,expensive,Little Italy,02:00,13:00,5,1
378,New Freeze Land,Turkish,medium,SoHo,02:00,11:00,2,1
379,Vince Cafe,Chinese,medium,Upper East Side,07:00,00:00,1,0
380,Cubbon Pavilion - ITC Gardenia,Thai,cheap,Flatbush,08:00,23:00,1,0
381,Chai Wai,Pakistani,cheap,Gramercy Park,05:00,21:00,2,1
382,Cake Zone,Fast Casual,cheap,East Harlem,05:00,14:00,4,0
383,Tandoor,Greasy Spoon,cheap,Greenpoint,01:00,18:00,5,1
384,Skoolroom,Pakistani,medium,Upper East Side,02:00,14:00,5,1
385,The Grand Thakar,Continental,medium,Greenwich Village,07:00,15:00,5,0
386,Le Cirque Signature - The Leela Palace,Italian,expensive,Brooklyn Heights,06:00,19:00,5,0
387,MTR 1924,Cafe,expensive,Washington Height,08:00,16:00,2,0
388,Cafe Soul Desires,Premium Casual,medium,Little Italy,10:00,13:00,1,0
389,The Salt Grill - Hilton Bangalore Embassy Golflinks,Casual Dining,cheap,Upper West Side,09:00,16:00,3,0
390,The Coffee Bean & Tea Leaf,Destination Restaurant,medium,Greenpoint,02:00,14:00,2,0
391,Vanilla The Bakery And Cafe,Fast Food,medium,Greenwich Village,08:00,21:00,2,1
392,Alto Vino - Bengaluru Marriott Hotel Whitefield,Fast Casual,cheap,Boerum Hill,08:00,17:00,3,1
393,Sonia's Cakes N All,Casual Dining,cheap,Park Slope,02:00,19:00,4,0
394,Yauatcha,Casual Dining,medium,Nolita,04:00,18:00,1,0
395,Raahi,Indian,expensive,Boerum Hill,03:00,17:00,5,1
396,The Pallet,Mongolian barbecue,medium,Chinatown,03:00,20:00,3,0
397,Taco Bell,Ethnic,medium,Red Hook,08:00,18:00,5,0
398,Loft,Italian,medium,Bushwick,09:00,21:00,5,1
399,Sri Krishna Upahara,Pakistani,medium,Chinatown,02:00,18:00,5,0
400,Cake My Day,Indian,expensive,Harlem,06:00,22:00,3,0
401,Rolls & Bowls,Premium Casual,cheap,Chelsea,03:00,19:00,4,1
402,R Kitchen - Renaissance Hotel,Family Style,cheap,Chelsea,01:00,15:00,5,0
403,Chilli 65,Family Style,medium,Greenpoint,03:00,13:00,4,0
404,Cafe De Macaron,Coffee,expensive,Long Island City,02:00,20:00,5,0
405,Friends Baker,Thai,expensive,Inwood,01:00,20:00,2,0
406,Qizo,Ethnic,expensive,East Harlem,04:00,12:00,2,0
407,Desi Stuff,Continental,cheap,Long Island City,03:00,22:00,5,0
408,Lavonne,Buffet,cheap,Canarsie,04:00,22:00,2,1
409,Unlocked,Thai,medium,Astoria,04:00,21:00,3,0
410,Dakshinayan,Cafe,expensive,Morningside Heights,09:00,13:00,3,1
411,Chef's Pizza,Fast Food,medium,East Harlem,05:00,20:00,1,1
412,Roastery Cultur - The Coffee Company,Brasserie and Bistro,medium,Bushwick,10:00,16:00,3,0
413,Biskut,Fast Food,cheap,Flushing,06:00,11:00,1,0
414,Alba - JW Marriott Bengaluru,Casual Dining,medium,Midtown East,03:00,18:00,2,1
415,Bake Ur Wish,Italian,cheap,Flatiron District,01:00,13:00,4,1
416,Oshwal,Pakistani,cheap,Dumbo,07:00,23:00,1,0
417,Cafe Azzure,Fine Dining,expensive,Flushing,06:00,20:00,3,0
418,Wagh Bakri Tea Lounge,Fine Dining,cheap,Astoria,05:00,23:00,3,0
419,Nanjing,Greasy Spoon,expensive,Boerum Hill,02:00,11:00,5,0
420,Rajwadu,Turkish,expensive,East Harlem,04:00,16:00,3,0
421,Falashin Juices & Dishes,Mongolian barbecue,expensive,Little Italy,09:00,22:00,1,1
422,Burgrill,Coffee,cheap,Union Square,07:00,19:00,1,1
423,The Blue Wagon - Kitchen,Turkish,cheap,Lower East Side,10:00,16:00,1,1
424,Caraway Kitchen - Conrad Bengaluru,Fast Casual,expensive,Fort Greene,04:00,22:00,2,0
425,The Home Basket,Destination Restaurant,expensive,Gramercy Park,02:00,22:00,5,1
426,The Square - Hotel Novotel,Family Style,cheap,Bushwick,02:00,17:00,2,1
427,Sweet Truth,Indian,expensive,Upper East Side,08:00,19:00,2,1
428,Moti Bakery,Fast Casual,cheap,Morningside Heights,08:00,18:00,1,0
429,70 Degrees East,Brasserie and Bistro,cheap,Lower East Side,02:00,18:00,5,1
430,Ek Roop Creations,Ethnic,cheap,Bushwick,04:00,13:00,5,1
431,SuperYum,Italian,expensive,Washington Height,02:00,12:00,4,0
432,Choc-o-Den,Greasy Spoon,cheap,Little Italy,04:00,17:00,1,0
433,Citrus Cafe - Lemon Tree Premier,Continental,cheap,Union Square,03:00,19:00,4,1
434,Peppa Zzing,Premium Casual,medium,Tribeca,02:00,13:00,4,1
435,Sidewalk - The Garden Bar,Thai,expensive,Fort Greene,01:00,15:00,5,1
436,Cake Story,Indian,cheap,Park Slope,01:00,15:00,1,0
437,Stoner,Pakistani,medium,Red Hook,11:00,15:00,5,0
438,Dum ka Zaika- Narayani Heights,Fast Food,cheap,Hamilton Heights,10:00,11:00,4,1
439,Dyu Art Cafe,Thai,cheap,Gramercy Park,10:00,11:00,1,1
440,Kaffee - Mast Hai,Mongolian barbecue,cheap,Dumbo,09:00,23:00,1,0
441,Bistro Bois,Destination Restaurant,expensive,Chinatown,04:00,11:00,3,0
442,Mahaveer Food Point,Thai,cheap,Inwood,04:00,19:00,5,1
443,Bombay Adda,Destination Restaurant,expensive,Greenpoint,07:00,14:00,5,1
444,Green Theory,Premium Casual,medium,Nolita,08:00,19:00,2,0
445,Cafe Max,Mongolian barbecue,cheap,Astoria,08:00,14:00,4,1
446,Forking Awesome,Thai,medium,Greenwich Village,03:00,12:00,5,0
447,Pooja Parlour,Indian,cheap,Flushing,01:00,11:00,2,1
448,Citrus Cafe - Lemon Tree Hotel,Turkish,medium,Red Hook,01:00,15:00,1,1
449,Choco Obsession,Casual Dining,expensive,Long Island City,02:00,17:00,4,0
450,Asha Tiffins,Lebanese,expensive,Flushing,04:00,23:00,1,0
451,The Willow Cafe,Family Style,cheap,Murray Hill,04:00,11:00,1,1
452,Manek Sandwich & Pizza,Chinese,medium,Upper West Side,02:00,16:00,2,0
453,Thom's Bakery,Casual Dining,cheap,Bushwick,08:00,15:00,1,1
454,California Burrito,Brasserie and Bistro,expensive,Tribeca,02:00,18:00,5,0
455,Pooja Sweet Bakers & Fast Food,Brasserie and Bistro,medium,Williamsburg,03:00,11:00,3,0
456,ANTIGRAVITY,Cafe,cheap,Boerum Hill,03:00,11:00,3,1
457,Bread Crumbs Bakery,Fine Dining,medium,Brooklyn Heights,05:00,19:00,3,1
458,Baithak,Tabletop cooking,medium,Dumbo,00:00,00:00,2,1
459,The Mad House Café,Premium Casual,expensive,Park Slope,09:00,00:00,2,1
460,Ayodhya Upachar,Continental,medium,Flushing,05:00,16:00,1,0
461,Parcel,Cafe,expensive,Battery Park City,00:00,15:00,2,0
462,Dice N Dine,Mongolian barbecue,medium,Hell's Kitchen,03:00,23:00,3,1
463,Pirates Of Grill,Fine Dining,expensive,Nolita,10:00,22:00,4,0
464,Communiti,Buffet,cheap,Brooklyn Heights,02:00,23:00,5,1
465,Hardy's Cafe,Chinese,medium,Williamsburg,03:00,14:00,4,1
466,The Dark Roast,Mongolian barbecue,expensive,East Harlem,10:00,21:00,1,0
467,Das Khaman,Destination Restaurant,expensive,East Village,03:00,21:00,3,0
468,Flax,Fast Casual,cheap,Union Square,09:00,20:00,1,0
469,Sweet Truth,Fast Food,expensive,Astoria,10:00,12:00,4,1
470,Cupcake Corner,Pakistani,expensive,Astoria,09:00,12:00,2,0
471,The Eatery - Four Points by Sheraton,Destination Restaurant,expensive,Midtown East,11:00,14:00,2,1
472,Chokhi Dhani,Continental,medium,Battery Park City,03:00,18:00,4,0
473,Happy Belly Bakes,Pakistani,medium,Morningside Heights,03:00,18:00,4,0
474,Charcoal Eats,Turkish,medium,Williamsburg,00:00,12:00,3,1
475,Oshwal,Tabletop cooking,cheap,Lower East Side,04:00,20:00,4,1
476,Feast - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,Buffet,expensive,Flatiron District,01:00,12:00,2,1
477,The Filter Coffee,Cafe,cheap,Inwood,09:00,17:00,4,1
478,The Great Kabab Factory - Radisson Blu,Lebanese,medium,Upper East Side,05:00,20:00,1,0
479,Playground,Greasy Spoon,expensive,Hamilton Heights,08:00,23:00,5,1
480,Infinity - The Zuri,Buffet,medium,Park Slope,02:00,23:00,3,0
481,Dak Bunglow,Fast Casual,expensive,Chelsea,04:00,14:00,4,0
482,Vinnie's,Coffee,medium,Astoria,10:00,12:00,5,1
483,Classic 44,Chinese,medium,Flatiron District,05:00,21:00,4,1
484,Queso Y Cafe,Turkish,medium,Gramercy Park,00:00,17:00,5,0
485,ANTIGRAVITY,Casual Dining,medium,Flatiron District,08:00,19:00,1,0
486,Shambhu's Coffee Bar,Indian,expensive,Nolita,02:00,14:00,1,0
487,Chilli 65,Thai,expensive,Upper West Side,07:00,14:00,4,0
488,Vanilla The Bakery And Cafe,Thai,expensive,Flatbush,10:00,17:00,5,0
489,Uttam's Bakery & Restaurant,Brasserie and Bistro,medium,Murray Hill,05:00,16:00,3,1
490,Collage - Hyatt,Fast Food,cheap,Hamilton Heights,09:00,19:00,2,1
491,SHANGZ,Casual Dining,cheap,Financial District,03:00,15:00,2,0
492,A Hole Lotta Love Cafe,Fine Dining,medium,Inwood,03:00,20:00,2,1
493,Unique Eats Restro Cafe,Continental,cheap,Marble Hill,03:00,17:00,3,0
494,Alba - JW Marriott Bengaluru,Indian,medium,Morningside Heights,02:00,12:00,4,0
495,Udupi Grand,Indian,expensive,Flatiron District,09:00,13:00,1,0
496,Udupi Shree Darshini Restaurant,Tabletop cooking,medium,Flatbush,11:00,13:00,1,1
497,Avin Karthik,Thai,medium,Williamsburg,04:00,14:00,3,0
498,From The North,Tabletop cooking,cheap,Harlem,08:00,13:00,4,1
499,Cafe De Macaron,Mongolian barbecue,cheap,Morningside Heights,08:00,22:00,5,1
500,Backpackers Cafe,Casual Dining,expensive,Boerum Hill,08:00,18:00,1,0
501,Mill & Co. - Renaissance Hotel,Fine Dining,medium,Chelsea,00:00,13:00,5,0
502,Tiffin Room - Miraya Hotel & Residences,Fast Casual,expensive,Lower Manhattan,10:00,00:00,4,0
503,City Buzz Reloaded,Indian,medium,Inwood,09:00,15:00,1,0
504,Starbucks Coffee,Turkish,expensive,Nolita,09:00,13:00,1,0
505,Polo Club - The Oberoi,Buffet,expensive,Little Italy,05:00,23:00,5,0
506,Alba - JW Marriott Bengaluru,Casual Dining,expensive,Nolita,06:00,12:00,4,0
507,Hash Guys,Tabletop cooking,medium,Tribeca,05:00,13:00,5,0
508,Petite Sweet,Greasy Spoon,medium,Chinatown,11:00,23:00,4,1
509,Street Storyss,Cafe,medium,Morningside Heights,07:00,20:00,2,0
510,Bharat Bistro,Continental,cheap,East Village,06:00,18:00,4,1
511,GYLT,Chinese,expensive,Greenwich Village,06:00,23:00,2,1
512,Ram Chat Bhandar,Indian,medium,Washington Height,11:00,23:00,4,1
513,Dakshinayan,Indian,expensive,Red Hook,01:00,22:00,4,0
514,Khalsa Dhaba,Brasserie and Bistro,medium,Midtown East,05:00,00:00,1,0
515,From The North,Tabletop cooking,expensive,Williamsburg,03:00,20:00,1,0
516,Chai Shop - Hyatt Regency,Italian,medium,Little Italy,02:00,17:00,2,1
517,Coffee Culture,Destination Restaurant,expensive,Chelsea,02:00,15:00,4,1
518,Bake Ur Wish,Lebanese,expensive,Prospect Heights,05:00,15:00,3,1
519,Podi Idly,Pakistani,expensive,Midtown East,11:00,22:00,2,1
520,Pizza Sailorz,Premium Casual,cheap,Long Island City,11:00,21:00,2,0
521,Cafe Arabica,Thai,medium,Gramercy Park,04:00,23:00,1,0
522,Cottage,Cafe,medium,Lower East Side,03:00,21:00,5,0
523,Boston Bites,Coffee,cheap,Flatiron District,05:00,00:00,2,1
524,Sante Spa Cuisine,Tabletop cooking,expensive,Financial District,09:00,21:00,2,1
525,Bloomsbury's Global Kitchen & Bakehouse,Chinese,medium,East Harlem,08:00,13:00,3,0
526,Hot Feast,Premium Casual,medium,Chinatown,09:00,16:00,3,1
527,Rehamati Bakery,Brasserie and Bistro,expensive,Union Square,09:00,23:00,3,1
528,Yauatcha,Destination Restaurant,expensive,Greenpoint,07:00,13:00,5,0
529,Tibetan Kitchen,Coffee,medium,Lower East Side,08:00,21:00,5,1
530,Garam Dharam,Fine Dining,cheap,Hell's Kitchen,11:00,18:00,4,1
531,Bake Me Away,Cafe,medium,Astoria,10:00,14:00,2,0
532,The Globe Grub,Chinese,expensive,Williamsburg,02:00,16:00,5,0
533,Curries,Casual Dining,expensive,Harlem,05:00,18:00,3,0
534,Chianti,Mongolian barbecue,expensive,Greenwich Village,05:00,14:00,4,0
535,Moti Bakery,Buffet,cheap,Red Hook,02:00,12:00,3,1
536,Naman Pizzeria & Barbecue,Fast Food,medium,Park Slope,10:00,20:00,3,1
537,Aattutheeram Kerala Restaurant,Ethnic,cheap,Harlem,04:00,22:00,3,1
538,Half Baked,Pakistani,expensive,Prospect Heights,09:00,14:00,5,1
539,‘Rotlo’ The Dining Hall,Ethnic,cheap,Flushing,09:00,15:00,4,1
540,The Lantern Restaurant & Bar - The Ritz-Carlton,Fast Food,cheap,Little Italy,07:00,16:00,4,1
541,Hashtag,Buffet,medium,Boerum Hill,10:00,23:00,2,1
542,Starbucks Coffee,Continental,medium,Hamilton Heights,06:00,19:00,3,0
543,Chef Baker's,Buffet,expensive,Little Italy,04:00,21:00,2,0
544,Cubbon Pavilion - ITC Gardenia,Indian,cheap,East Harlem,04:00,20:00,1,0
545,New York Slice,Family Style,medium,SoHo,08:00,23:00,5,0
546,Kovallam,Family Style,cheap,Upper West Side,08:00,16:00,2,0
547,Boathouse,Chinese,expensive,Greenpoint,01:00,15:00,2,0
548,Gulati Bakers,Buffet,expensive,Battery Park City,02:00,19:00,3,0
549,Biryani By Kilo,Destination Restaurant,cheap,Lower Manhattan,02:00,22:00,1,1
550,UDP Urban Deccan Pub,Buffet,expensive,Tribeca,11:00,19:00,3,0
551,Biryani By Kilo,Brasserie and Bistro,medium,Fort Greene,08:00,18:00,2,1
552,Maruthi Davangere Benne Dosa,Chinese,cheap,Nolita,02:00,12:00,4,1
553,Cafe Espro,Lebanese,cheap,Williamsburg,05:00,13:00,1,0
554,Chef Aarti Tejwani,Ethnic,medium,Murray Hill,06:00,16:00,3,0
555,Mill & Co. - Renaissance Hotel,Cafe,cheap,Chelsea,01:00,22:00,3,0
556,Hot Feast,Fast Food,medium,Williamsburg,06:00,18:00,1,0
557,Noorani By Nihari,Pakistani,medium,Dumbo,04:00,16:00,4,0
558,Icekraft,Pakistani,medium,Greenwich Village,10:00,14:00,3,0
559,Gwalia Sweets,Brasserie and Bistro,medium,Flatiron District,09:00,23:00,4,0
560,Chullah Bhatti Grand,Lebanese,expensive,Inwood,08:00,17:00,4,1
561,Biryani By Kilo,Ethnic,cheap,Lower East Side,09:00,21:00,3,0
562,New Freeze Land,Tabletop cooking,cheap,Chelsea,08:00,23:00,3,0
563,The Big Barbeque,Lebanese,cheap,Chinatown,03:00,15:00,1,1
564,The Chocolate Heaven,Italian,expensive,Tribeca,05:00,19:00,5,1
565,Devarsh,Casual Dining,expensive,Inwood,10:00,11:00,3,0
566,Xochi Bar And Kitchen,Buffet,expensive,Battery Park City,02:00,00:00,1,0
567,Eleven 11 Restro Cafe,Destination Restaurant,expensive,Brooklyn Heights,04:00,00:00,2,1
568,Go Native,Pakistani,medium,Fort Greene,10:00,21:00,4,0
569,Cake Zone,Tabletop cooking,medium,Battery Park City,00:00,20:00,5,0
570,Subway,Chinese,expensive,Chelsea,01:00,13:00,1,0
571,Smoor,Indian,cheap,Williamsburg,07:00,00:00,2,0
572,Cake Story,Fast Casual,cheap,Inwood,10:00,16:00,1,0
573,Curry N Spices,Pakistani,medium,Gramercy Park,07:00,14:00,5,0
574,Burgrill,Tabletop cooking,medium,Morningside Heights,03:00,15:00,5,1
575,Vanashree,Greasy Spoon,medium,East Village,10:00,17:00,5,1
576,The Bangalore Cafe,Italian,expensive,Morningside Heights,10:00,16:00,1,1
577,Roll Subs,Tabletop cooking,medium,Flatbush,09:00,18:00,2,1
578,Roots,Fast Food,medium,East Harlem,05:00,14:00,4,1
579,Benares,Thai,cheap,Hamilton Heights,07:00,22:00,2,0
580,TGB Cafe n Bakery,Premium Casual,cheap,Flatiron District,05:00,15:00,3,1
581,Mooch Marod - Non Veg,Casual Dining,expensive,Lower East Side,05:00,17:00,5,1
582,Blue Bottle Cafe,Casual Dining,expensive,Flatiron District,10:00,16:00,3,0
583,ibaco,Turkish,expensive,Prospect Heights,11:00,23:00,4,0
584,Bansal Amritsar Food Street,Greasy Spoon,medium,Chinatown,00:00,22:00,1,1
585,Karachi Bakery,Mongolian barbecue,medium,Chelsea,10:00,21:00,4,0
586,Roll Subs,Indian,expensive,Marble Hill,01:00,14:00,5,0
587,Monica's Puddings & Pies,Chinese,cheap,Midtown East,10:00,19:00,3,1
588,SandwichworkZ - The Fusion Street Cafe,Chinese,cheap,SoHo,09:00,14:00,3,0
589,Foodie's Call,Casual Dining,cheap,Washington Height,10:00,14:00,1,0
590,Cake Cafe,Fine Dining,cheap,Union Square,06:00,11:00,5,0
591,Anupam Sweets,Fine Dining,cheap,Battery Park City,08:00,17:00,3,0
592,Molecule Air Bar,Pakistani,expensive,Fort Greene,09:00,12:00,1,0
593,Loft,Greasy Spoon,expensive,Greenpoint,01:00,14:00,3,0
594,Himalayan Food Plaza,Lebanese,medium,Upper East Side,10:00,19:00,2,0
595,SuperYum,Cafe,cheap,Nolita,06:00,22:00,3,1
596,Burgerlicious,Casual Dining,cheap,Midtown East,10:00,21:00,4,0
597,Dakshin - ITC Windsor,Italian,cheap,East Village,02:00,14:00,3,0
598,UFO Fries & Corn,Italian,cheap,Union Square,05:00,20:00,3,1
599,Unlocked,Fast Casual,expensive,Lower East Side,09:00,22:00,1,1
600,The Sugar Fairy,Buffet,cheap,Flatiron District,08:00,13:00,3,1
601,Mirch Masala,Destination Restaurant,cheap,Chinatown,11:00,22:00,2,0
602,Cream N Crunch,Casual Dining,cheap,Tribeca,00:00,11:00,2,1
603,Golden Brown,Coffee,expensive,Park Slope,00:00,15:00,5,1
604,Lazeez Rasoi,Fine Dining,expensive,Gramercy Park,05:00,15:00,3,1
605,Faraabi Cafe,Premium Casual,expensive,Canarsie,02:00,23:00,4,1
606,World Food Centre,Italian,expensive,Flatiron District,04:00,11:00,1,0
607,Simply Meaty,Coffee,medium,Upper East Side,10:00,17:00,5,0
608,Tipsy Bull - The Bar Exchange,Thai,expensive,Harlem,01:00,13:00,1,0
609,Maiyas,Mongolian barbecue,medium,Battery Park City,09:00,21:00,1,1
610,Baba Dairy,Thai,cheap,Williamsburg,04:00,21:00,1,1
611,Shree Manmohan Kharek Centre,Indian,cheap,Dumbo,02:00,15:00,5,0
612,United Coffee House Rewind,Turkish,cheap,Midtown East,02:00,23:00,5,0
613,Tea Culture,Family Style,medium,Harlem,01:00,13:00,1,0
614,National Bakers,Turkish,cheap,Williamsburg,01:00,17:00,5,0
615,Lil' Heaven Cafe,Fast Casual,medium,Boerum Hill,08:00,20:00,3,1
616,Kovallam,Tabletop cooking,medium,Financial District,08:00,12:00,3,1
617,TBC Sky Lounge,Family Style,cheap,Red Hook,09:00,17:00,1,1
618,Incanto - The Zuri,Continental,cheap,Bushwick,09:00,20:00,3,1
619,Mongini's,Casual Dining,cheap,Boerum Hill,00:00,19:00,5,0
620,The Humble Pie,Continental,medium,Tribeca,06:00,16:00,3,0
621,The Reservoire,Turkish,cheap,Bushwick,06:00,21:00,5,0
622,Saanjh Baker's Cakes & Cafe,Ethnic,cheap,Chinatown,03:00,15:00,4,1
623,The Pallet,Family Style,medium,Financial District,04:00,23:00,5,1
624,Tomato's,Fast Casual,medium,Fort Greene,01:00,17:00,4,1
625,Dravida - The Fern,Italian,medium,Fort Greene,04:00,12:00,2,1
626,Lezzetli,Lebanese,medium,Upper West Side,00:00,22:00,3,0
627,Pastry 'N' Tasty,Ethnic,expensive,Hell's Kitchen,07:00,12:00,2,1
628,Super Donuts- American Eatery & Bakery,Tabletop cooking,medium,Astoria,06:00,14:00,3,0
629,Popular Burger,Casual Dining,expensive,Lower East Side,10:00,22:00,3,0
630,Road Side Bells,Lebanese,medium,Inwood,07:00,14:00,1,0
631,Playground,Buffet,cheap,Long Island City,03:00,12:00,5,0
632,Brew Bros,Lebanese,medium,Chelsea,03:00,11:00,1,1
633,Sidewalk - The Garden Bar,Italian,cheap,SoHo,10:00,14:00,4,1
634,Lil' Heaven Cafe,Greasy Spoon,expensive,Dumbo,06:00,13:00,1,1
635,Choice Snack Bar,Premium Casual,expensive,Hamilton Heights,10:00,19:00,1,0
636,Biergarten,Tabletop cooking,expensive,Astoria,02:00,12:00,4,1
637,Karachi Bakery,Pakistani,medium,Flushing,06:00,16:00,2,1
638,Boston Bites,Thai,medium,Lower East Side,09:00,22:00,2,1
639,Vanilla The Cake Shop,Casual Dining,cheap,Prospect Heights,01:00,17:00,5,1
640,Tea Villa Cafe,Casual Dining,medium,Astoria,09:00,21:00,5,0
641,New Polka Pastry Shop,Premium Casual,expensive,Bushwick,01:00,20:00,2,0
642,Backpackers Cafe,Cafe,medium,Upper West Side,05:00,19:00,2,0
643,La Patisserie,Fast Casual,expensive,Harlem,11:00,12:00,5,1
644,The Filter Coffee,Casual Dining,expensive,Long Island City,03:00,00:00,2,0
645,Dryp,Ethnic,medium,Astoria,01:00,15:00,5,1
646,The Black Pearl,Turkish,expensive,Financial District,05:00,15:00,5,1
647,Tea Culture,Ethnic,medium,Harlem,09:00,20:00,4,0
648,Citrus - The Leela Palace,Italian,expensive,Nolita,09:00,13:00,1,1
649,Food@U,Casual Dining,cheap,Dumbo,08:00,00:00,1,1
650,Bake Me Away,Brasserie and Bistro,medium,Canarsie,11:00,16:00,3,0
651,Third Wave Coffee Roasters,Continental,expensive,Tribeca,11:00,11:00,3,0
652,Rangeen,Family Style,medium,Fort Greene,03:00,17:00,2,1
653,Wakhra Swaad,Destination Restaurant,medium,Astoria,06:00,17:00,2,0
654,Polo Club - The Oberoi,Mongolian barbecue,cheap,Red Hook,00:00,17:00,3,0
655,VarieTea,Casual Dining,cheap,Morningside Heights,02:00,17:00,2,1
656,@Mango,Fast Food,cheap,Morningside Heights,00:00,18:00,5,1
657,Haramrit Vaishno Dhaba,Destination Restaurant,expensive,Flushing,02:00,15:00,4,0
658,Michigan Pizza Company,Turkish,expensive,Marble Hill,09:00,15:00,4,1
659,Soul Treat,Ethnic,medium,Little Italy,06:00,20:00,5,0
660,Chai Galli,Casual Dining,medium,Flushing,02:00,00:00,3,1
661,Cafe De Italiano,Fine Dining,expensive,SoHo,06:00,16:00,3,1
662,Vibrant Cafe & Food Court,Ethnic,expensive,Greenpoint,02:00,21:00,2,1
663,Polka The Cake Shop,Lebanese,expensive,Inwood,04:00,22:00,3,1
664,The Rolling Pin,Thai,medium,Chinatown,05:00,18:00,3,1
665,Atty's Bakery,Ethnic,cheap,Red Hook,10:00,18:00,4,0
666,Joules,Mongolian barbecue,expensive,SoHo,04:00,14:00,1,1
667,Onesta,Mongolian barbecue,cheap,East Village,09:00,20:00,4,0
668,M Cafe - Bengaluru Marriott Hotel Whitefield,Indian,cheap,Flatiron District,03:00,21:00,4,1
669,Mooch Marod - Non Veg,Indian,cheap,Brooklyn Heights,00:00,22:00,1,1
670,Pastry 'N' Tasty,Fine Dining,cheap,Union Square,07:00,21:00,5,0
671,The Filter Coffee,Family Style,cheap,Hell's Kitchen,07:00,23:00,5,0
672,Poetry,Turkish,medium,Bushwick,03:00,14:00,1,0
673,Ram Dairy,Coffee,medium,Harlem,08:00,18:00,4,0
674,Dakshinayan,Destination Restaurant,expensive,Flushing,09:00,12:00,5,0
675,La Patisserie,Fast Food,medium,Flatiron District,02:00,14:00,4,0
676,Chandigarh Baking Company - JW Marriott,Chinese,cheap,Marble Hill,02:00,20:00,1,0
677,Juno's Pizza,Tabletop cooking,expensive,Park Slope,06:00,16:00,5,0
678,IDC Kitchen,Continental,expensive,Chelsea,05:00,20:00,2,0
679,Downtown Cafe & Bakery,Cafe,medium,Murray Hill,05:00,20:00,2,0
680,Cakes 'N' Stuff,Greasy Spoon,cheap,Gramercy Park,08:00,20:00,4,1
681,TGIH - Thank God It's Healthy,Italian,cheap,Greenwich Village,07:00,20:00,3,1
682,Upper Crust,Mongolian barbecue,cheap,Upper East Side,07:00,16:00,5,0
683,Kaffee - Mast Hai,Mongolian barbecue,medium,Flatbush,06:00,23:00,3,0
684,Makeba - The Lounge Cafe,Pakistani,medium,Upper West Side,01:00,15:00,3,0
685,Juicy,Coffee,medium,Greenpoint,01:00,21:00,2,0
